Title,Title_link,name,index,count,mark-neww,Price
Intel Core i5-8600 @ 3.10GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8600+%40+3.10GHz&id=3251,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8600+%40+3.10GHz&id=3251,(38.7%),42.1,"9,851",$234.18
Intel Core i9-10900X @ 3.70GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900X+%40+3.70GHz&id=3633,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900X+%40+3.70GHz&id=3633,(38.2%),41.5,"22,836",$549.99
AMD Ryzen Threadripper 2920X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2920X&id=3354,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+2920X&id=3354,(37.8%),41.1,"25,608",$623.68
Intel Core i7-8700 @ 3.20GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-8700+%40+3.20GHz&id=3099,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-8700+%40+3.20GHz&id=3099,(37.6%),40.9,"13,073",$319.98
AMD Ryzen 5 3400G,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3400G&id=3498,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+5+3400G&id=3498,(37.5%),40.7,"9,368",$229.99
AMD Ryzen Threadripper 3960X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3960X&id=3617,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+3960X&id=3617,(37.5%),40.7,"54,950","$1,349.99"
Intel Core i5-9400 @ 2.90GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9400+%40+2.90GHz&id=3414,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9400+%40+2.90GHz&id=3414,(37.4%),40.6,"9,498",$233.94
Intel Core i9-7940X @ 3.10GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-7940X+%40+3.10GHz&id=3094,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-7940X+%40+3.10GHz&id=3094,(37.3%),40.6,"26,767",$660.00
Intel Core i5-8500 @ 3.00GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8500+%40+3.00GHz&id=3223,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8500+%40+3.00GHz&id=3223,(37.3%),40.5,"9,556",$235.99
Intel Core i3-9100F @ 3.60GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-9100F+%40+3.60GHz&id=3461,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i3-9100F+%40+3.60GHz&id=3461,(37.2%),40.4,"6,778",$167.56
Intel Core i5-8400 @ 2.80GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8400+%40+2.80GHz&id=3097,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-8400+%40+2.80GHz&id=3097,(37.2%),40.4,"9,218",$227.92
Intel Core i7-6800K @ 3.40GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-6800K+%40+3.40GHz&id=2785,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-6800K+%40+3.40GHz&id=2785,(37.2%),40.4,"10,553",$261.46
Intel Core i9-7960X @ 2.80GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-7960X+%40+2.80GHz&id=3096,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-7960X+%40+2.80GHz&id=3096,(37.1%),40.3,"27,198",$674.99
Intel Xeon E-2146G @ 3.50GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E-2146G+%40+3.50GHz&id=3314,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+E-2146G+%40+3.50GHz&id=3314,(36.9%),40.1,"13,401",$334.17
Intel Core i9-7920X @ 2.90GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-7920X+%40+2.90GHz&id=3082,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-7920X+%40+2.90GHz&id=3082,(36.0%),39.1,"23,470",$599.99
